,Zip Code,Property Type,Square Feet,Market Value,Year Built,Decade Built
20,78705,SFR,0,682787,1908,1900's
234,78705,DUPLEX,5503,606300,1902,1900's
24,78705,SFR,4529,986000,1900,1900's
231,78705,QUADRUPLEX,3810,514634,1900,1900's
235,78705,TRIPLEX,2143,470161,1900,1900's
25,78705,SFR,1460,561600,1900,1900's
284,78702,DUPLEX,2478,664447,1910,1910's
268,78702,QUADRUPLEX,2933,763907,1910,1910's
22,78705,SFR,1272,450281,1910,1910's
226,78705,DUPLEX,2694,504467,1928,1920's
228,78705,TRIPLEX,2499,438955,1921,1920's
221,78705,DUPLEX,2548,534233,1920,1920's
273,78702,DUPLEX,1456,598552,1924,1920's
30,78705,SFR,3278,619000,1927,1920's
33,78705,SFR,3510,737118,1920,1920's
278,78702,DUPLEX,850,503725,1926,1920's
232,78705,DUPLEX,1007,232266,1924,1920's
23,78705,SFR,1080,846484,1923,1920's
28,78705,SFR,958,416206,1938,1930's
229,78705,QUADRUPLEX,4598,610000,1935,1930's
26,78705,SFR,5164,1285000,1931,1930's
32,78705,SFR,1834,504800,1930,1930's
34,78705,SFR,1700,541238,1930,1930's
29,78705,SFR,2348,489781,1938,1930's
35,78705,SFR,1543,450000,1937,1930's
267,78702,DUPLEX,816,416299,1936,1930's
225,78705,DUPLEX,1760,241092,1937,1930's
272,78702,DUPLEX,1440,507825,1936,1930's
84,78702,SFR,2657,728300,1935,1930's
275,78702,DUPLEX,2772,780040,1935,1930's
185,78702,CONDOMINIUM,853,302153,1935,1930's
184,78702,CONDOMINIUM,1344,267075,1938,1930's
280,78702,DUPLEX,1372,426187,1932,1930's
120,78705,CONDOMINIUM,3997,895100,1934,1930's
96,78702,SFR,710,409409,1932,1930's
21,78705,SFR,5088,680800,1935,1930's
236,78705,TRIPLEX,9293,2033941,1936,1930's
223,78705,QUADRUPLEX,4950,574708,1945,1940's
220,78705,QUADRUPLEX,4417,706621,1940,1940's
200,78745,DUPLEX,1872,184570,1948,1940's
233,78705,DUPLEX,1722,481529,1940,1940's
285,78702,DUPLEX,2009,560828,1948,1940's
282,78702,DUPLEX,2158,614000,1940,1940's
279,78702,TRIPLEX,9828,1432872,1947,1940's
88,78702,SFR,1130,464709,1945,1940's
7,78745,SFR,2124,612723,1949,1940's
239,78705,DUPLEX,2681,722775,1949,1940's
85,78702,SFR,616,389500,1955,1950's
93,78702,SFR,688,643220,1950,1950's
65,78732,SFR,1120,244747,1952,1950's
276,78702,TRIPLEX,1811,497834,1950,1950's
187,78702,CONDOMINIUM,1008,311000,1954,1950's
211,78745,DUPLEX,1560,361600,1958,1950's
271,78702,DUPLEX,1342,529389,1950,1950's
86,78702,SFR,1148,492400,1955,1950's
269,78702,DUPLEX,2828,689151,1950,1950's
16,78745,SFR,912,232648,1955,1950's
27,78705,SFR,2654,491200,1950,1950's
31,78705,SFR,1232,453600,1951,1950's
274,78702,DUPLEX,2724,571600,1962,1960's
80,78702,MOBILE HOME,460,1777,1968,1960's
262,78732,DUPLEX,1416,201979,1962,1960's
281,78702,DUPLEX,2758,777390,1960,1960's
264,78732,DUPLEX,5160,450984,1967,1960's
230,78705,DUPLEX,1806,467745,1962,1960's
63,78732,MOBILE HOME,720,2487,1968,1960's
75,78732,MOBILE HOME,720,2363,1968,1960's
60,78732,SFR,1796,282044,1960,1960's
9,78745,SFR,1108,230168,1960,1960's
213,78745,DUPLEX,2270,314315,1965,1960's
270,78702,DUPLEX,1227,532805,1962,1960's
81,78702,SFR,681,359000,1960,1960's
261,78732,DUPLEX,2904,335254,1975,1970's
219,78745,QUADRUPLEX,3314,314483,1972,1970's
260,78732,TRIPLEX,1699,208555,1978,1970's
265,78732,DUPLEX,2838,267500,1976,1970's
218,78745,QUADRUPLEX,3314,322029,1972,1970's
79,78732,MOBILE HOME,980,3804,1978,1970's
0,78745,SFR,1491,236137,1976,1970's
57,78729,SFR,1983,340497,1975,1970's
54,78729,SFR,2210,375002,1976,1970's
56,78729,SFR,1845,363679,1975,1970's
43,78729,SFR,1821,283000,1979,1970's
67,78732,SFR,2582,299800,1979,1970's
58,78729,SFR,1686,337728,1975,1970's
18,78745,SFR,1619,271131,1976,1970's
14,78745,SFR,1731,282776,1976,1970's
13,78745,SFR,1958,296401,1976,1970's
12,78745,SFR,1632,273608,1976,1970's
11,78745,SFR,1872,292092,1976,1970's
52,78729,SFR,1554,295375,1977,1970's
10,78745,SFR,2016,306719,1976,1970's
69,78732,MOBILE HOME,952,3938,1978,1970's
49,78729,SFR,2268,363538,1976,1970's
5,78745,SFR,1776,262661,1976,1970's
4,78745,SFR,2287,302262,1976,1970's
3,78745,SFR,2062,277665,1976,1970's
2,78745,SFR,1563,212751,1976,1970's
6,78745,SFR,1774,263343,1976,1970's
64,78732,SFR,2708,717618,1970,1970's
1,78745,SFR,1950,310400,1976,1970's
242,78729,DUPLEX,2217,349621,1985,1980's
136,78705,CONDOMINIUM,624,230445,1982,1980's
137,78705,CONDOMINIUM,893,314845,1982,1980's
